Name,Product Category,Secondary Product Category,Issuer/Asset Category,Asset Sub-categories,Summary,Launch status,Custodial/Non-custodial,Private/public blockchain,Chain,"Project tokens (Utility, Stable)",Founded,Location,"Assets, regions",Stats,URL,Twitter,Discord,Date added
CACHE Gold ,Tokenization platform ,,Commodities and Precious Metals,Gold and silver,"With CACHE’s services and APIs, you can easily create, manage, and transfer tokens backed by physical assets which can be integrated with new or existing systems. By tokenizing physical assets, you can unlock new revenue streams and provide more transparency for your customers.",Live,Non-custodial,Public,Multi-chain,$CGT,,SG,,explorer.cache.gold/,https://www.cache.gold,https://twitter.com/cache_gold,-,15/9/2023
Calastone,Tokenized fund,,Funds and Investment Vehicles,Private funds,"Helping firms reduce cost and risk through automated processing Connecting the world’s largest community of funds We are driving the digital transformation of the funds industry. Using the power of the very latest technologies, we are streamlining the processing of funds in a frictionless environment. Our mission is to reduce complexity and drive out risk and cost for all participants, enhancing the industry’s ability to deliver greater value to the investor, making investing accessible to all.",Live,Custodial,Private,,,,UK (London) + 7 other locations ,,"3.9k+ More than 3,900 clients process trades through our network 36k+ We operate in excess of 36,000+ trading links 54 We connect funds across 54 different countries and territories for truly global coverage",https://www.calastone.com/,https://twitter.com/CalastoneLtd,-,15/10/2023
Canto,"""L1, RWA-specific""",,- Asset-agnostic,- Asset-agnostic,"Canto is a Layer-1 blockchain built with the Cosmos SDK that offers an EVM execution layer and core financial primitives, including a decentralized exchange, lending market, and unit of account (NOTE). Canto presents the radical notion that DeFi primitives should exist as Free Public Infrastructure (FPI), or free-to-use public utility protocols. Development is stewarded by the Canto Commons, an open and permissionless framework for coordinating around a decentralized public protocol.",Live,Non-custodial,Public,Canto,$CANTO,,,,,https://www.canto.io,https://twitter.com/CantoPublic,discord.com/invite/ucRX6XCFbr,15/9/2023
Canton,"""L1, Enterprise""",,,,,,,,,,,US (NY),,,https://www.canton.network/,https://twitter.com/cantonnetwork,,15/10/2023
Carapace Finance,Default insurance market,,Private Debt Instruments,Private debt,Investment Platform to connect buyers and sellers of default risk in crypto loans. ,Pivoted,Non-custodial,Public,Ethereum,-,2021,?,?,,https://www.carapace.finance,https://twitter.com/carapacefinance,-,15/9/2023
Carbon.credit,Investment platform,,Sustainable and Responsible Investments,Carbon credits,"Marketplace and exchange For Carbon Credits And Energy Related Contracts. Carbon.Credit helps developers of carbon sequestration and renewable energy projects by enabling the development, capitalization, funding, and improvements of carbon related assets. We provide price discovery, liquidity and transparancy to projects and carbon credits.",Live,Non-custodial,Public,,,2022,"US (Sheridan, WY)",,,https://carbon.credit/,https://twitter.com/carboncreditxyz,-,15/11/2023
Carbonds,Investment platform,,Sustainable and Responsible Investments,Carbon credits,"Carbonds is creating a cutting-edge environmental framework, accompanied by a suite of tools specifically crafted to transform the assessment and management of your company's carbon emissions.


The M.E.R.C.I Framework: 

Monitor: Gain real-time visibility into your CO2 emissions and monitor their evolution across different scopes.

Explore: Access a transparent and tamper-proof register of carbon data from all companies, powered by blockchain technology.

Reduce: Identify specialized experts who will assist you in implementing effective actions to reduce your CO2 emissions and progress toward carbon neutrality.

Contribute: Participate in a market for certified carbon credits based on blockchain technology, helping your company offset its incompressible emissions.

Invest: Identify high-impact environmental projects to invest in, contributing to a more sustainable future.",In development,?,?,?,-,2022,,,,https://www.carbonds.io,https://twitter.com/Carbonds4,-,19/9/2023
Carbonmark,Investment platform,,Sustainable and Responsible Investments,Carbon credits,"The Universal Carbon Investment Platform The largest selection of digital carbon credits worldwide. Buy, sell, and retire digital carbon from any project instantly with zero-commission trading. 312 projects are trading as on Sep'23",Live,Non-custodial,Public,Polygon,,2023,,,"Over 20 million verified digital carbon credits from hundreds of projects, with over $4 billion traded to date; 312 projects are trading as of Sep'23",https://www.carbonmark.com,https://twitter.com/carbonmarkcom,,15/9/2023
Cashlink,Tokenization infra ,,- Asset-agnostic,"Real estate,ESG,Collectibles,Private equities","Cashlink empowers businesses to offer their end customers investments in alternative assets (Real Estate, Renewables, Collectibles etc.). All-in-one, with a fast time to market and costs savings. Cashlink’s regulatory licenses and compliant tokenizationtechnology allow Cashlink’s customers to focus on their core business.",Live,Custodial,Public,-,,2016,,,,https://www.cashlink.de,-,-,15/9/2023
Centrifuge,Credit protocol (asset-backed),,- Asset-agnostic,"Real estate,Receivables,Private debt","Through Centrifuge, real-world projects have financed over $4.6B by collateralizing their assets on-chain. Investors can deposit into senior (called DROP) or junior pools (called TIN). Minimum investment is 5000$. In the event of a default, the junior tranche (TIN) takes losses first — and earns a higher, variable yield. The senior tranche (DROP) is protected by the junior tranche as a result — and it earns a lower, fixed yield (in the range of 4-10%). Centrifuge’s know-how is the private data layer that allows investors to access financial data about the issuers’ collateral assets securely and privately. This asset data is hashed and the hash anchored on-chain and added to the NFTs metadata to create a verifiable link to the NFT without making the data publicly available.",Live,Non-custodial,Public,"Ethereum,Polkadot Parachain",,2017,"DE (Berlin), CH",,,https://www.centrifuge.io,https://twitter.com/centrifuge,https://discord.com/invite/yEzyUq5gxF,15/9/2023
Cerchia,Investment platform,,Insurance and Claims,Natural disaster claims,"Peer-to-peer Direct Risk Transfer (DRT) Platform. Cerchia allows for automated parametric event risk payouts/returns. Bridged to specific trigger indices provided by certified agencies. Cerchia is on a mission to narrow the Protection Gap for catastrophic events (Insured Losses: 142Bln, Total Losses: 496Bln)",Live,Non-custodial,Public,Avalanche,-,2020,CH,Worldwide,,https://www.cerchia.io,https://twitter.com/cerchia_io,-,15/9/2023
Circle,Stablecoin (RWA- or Fiat- backed),,Public Debt Instruments,Government bonds (short-term / US),"USDC is a centralized, RWA-collateralized stablecoin, meaning that each token is backed by $1 in reserve assets. Its reserves are held exclusively in US banks as cash and short-term US Treasuries.",Live,"Non-custodial,Custodial",Public,Multi-chain,$USDC,2013,,,,https://www.circle.com,https://twitter.com/circle,https://discord.com/invite/buildoncircle,22/9/2023
CitaDAO,Investment platform,Tokenization platform,Real Estate,Real estate (commercial),"When a Real Estate is listed on the CitaDAO platform, the CitaDAO community will be able to commit their interest towards the Real Estate. Once sufficient commitment is secured, the building will be purchased by a Special Purpose Vehicle (“SPV”), and everyone who commits to it will receive Real Estate Token (“RETs”) that represents the right to buy out all other RET holders and redeem the underlying title deed as well as all assets of the SPV. CitaDAO issues ERC-20 tokens linked directly to the property, with the potential to own the underlying real estate through redemption.",Live,Non-custodial,Public,Ethereum,,2018,SG,,,https://www.citadao.io,https://twitter.com/citadao_io,https://discord.com/invite/citadao,15/9/2023
Clearpool,Credit protocol (reputation-backed),,- Asset-agnostic,-,"Clearpool is a Decentralized Finance ecosystem incorporating the first-ever permissionless Investment Platform for unsecured institutional liquidity. Driven by market forces of supply and demand, Clearpool’s permissionless single-borrower pools enable institutions to raise short-term capital while providing DeFi lenders access to risk-adjusted returns based on interest rates derived by market consensus.",Live,Non-custodial,Public,"Ethereum,Polygon,Polygon zkEVM",$CPOOL,2021,HK,,,https://www.clearpool.finance,https://twitter.com/ClearpoolFin,https://discord.com/invite/YYzxscA4nu,15/9/2023
Coded Estate,Assets DEX,,Real Estate,Real estate,"Coded estate is the first dynamic NFT marketplace for real estate and rental on the blockchain, using hybrid smart contracts and Zero knowledge proof technology. Non-Custodial Dashboard: With Coded Estate's personalized, non-custodial dashboard, you have complete control over your real estate NFTs. You can easily update, access, and manage all your real estate NFTs in one location, ensuring that your real estate assets are always at your fingertips.",Testnet,Non-custodial,Public,Cosmos,,,,,,https://codedestate.com/,https://twitter.com/codedestate,https://discord.com/invite/JCXEXTm58p,3/12/2023
Comdex,"""L1, RWA-specific""",,,,,,,,,,,,,,https://comdex.one/,https://twitter.com/ComdexOfficial,https://discord.com/invite/7vjPvWKKMT,15/10/2023
CompanyDAO,Tokenization platform ,,- Asset-agnostic,"Real estate,Private equities,IP,Collectibles","Access capital, unlock liquidity, enable fractional ownership and grow your business with token incentives. How it works: 1 Legal Entity Set Up Purchase a blockchain managed holding company from Company DAO; 2 Asset Acquisition Transfer your assets or business interests to the holding company; 3 Token Offering Issue and sell tokens which represent a legal claim on the company or assets held by the company; 4 Asset Management Use the Company DAO platform to manage the holding company. ",Live,Non-custodial,Public,"Polygon,Ethereum",-,2022,"US (CO, Denver)",,,https://companydao.org/,https://twitter.com/company_dao,-,3/12/2023
ConsolFreight,Trade financing ,,,,,,,,,,,,,,https://www.consolfreight.io/,https://twitter.com/consol_freight,-,15/10/2023
Contour Network,Trade financing ,,- Asset-agnostic,- Asset-agnostic,"Contour enhances your digital trade journey by streamlining complex trade finance processes and simplifying workflows using cutting-edge technology. Contour connects corporates to all of their banks and trade ecosystem partners on a single, decentralised network. This streamlined solution enables real-time data synchronisation, smart contracts and workflows, providing full data confidentiality and control.

Go Paperless: Contour digitises the trade finance process by removing the need for paper. Digital transaction evidence can be securely shared on our blockchain network either directly or through APIs from third-party digital document providers, such as electronic bills of lading. 

Nov'23: Blockchain-powered trade finance platform Contour is officially shutting down despite some early success in reducing Letter of Credit (LC) processing times. They faced an uphill battle in the form of a fragmental global trade finance system, with too many bespoke processes and loose ends to integrate under one roof.

This closure highlights the inherent difficulties in transforming deeply entrenched financial systems. Despite its advanced technology, the lack of interoperability between existing trade finance systems proved too much for Contour to bear.",Dead,Custodial,Private,R3 Corda,,2020,SG,,,https://www.contour.network/,https://twitter.com/contourtrade,-,15/10/2023
CosimoX,Tokenized fund,,Financial Services and Payments,Venture capital,The World’s First Tokenized Evergreen Fund,Live,Custodial,Public,?,,,,,,https://www.cosimox.com,https://twitter.com/COSIMOventures,-,15/9/2023
Courtyard,Investment platform,Tokenization platform,Collectibles and Alternatives,Collectibles,Tokenization and NFT marketplace for Collectibles and Cards,Live,Non-custodial,Public,Polygon,,,US (NY),,,https://courtyard.io/,https://twitter.com/Courtyard_NFT,https://discord.com/invite/courtyardnft,3/11/2023
Credefi,Credit protocol (asset-backed),,Financial Services and Payments,Receivables,"Invest in EU SME loans backed by RWA collateral.
120% LTV
Risk predictability rate: 85%",Live,Non-custodial,Public,"Ethereum,BNB","$CREDI, $xCREDI",2020,BG,EU,,https://www.credefi.finance,https://twitter.com/credefi_finance,-,15/9/2023
CreditCoin,"""L1, RWA-specific""",,Private Debt Instruments,Private debt,"Build your credit operations on a blockchain tailored for auditability, transparency and trust - connecting borrowers and lenders across Web3. Creditcoin records loan terms, repayments and credit performance on a blockchain-agnostic protocol, facilitating easy and transparent credit risk assessment, and connecting capital from Web3 to real-world credit investment opportunities. Marked as 'rising star' in the RWA market by DeFiSaint.",Live,Non-custodial,Public,Creditcoin,$CTC,,,,"Wallets: 529,852
Total Events: 12,106,971
Total Extrinsics: 4,299,490
Explorer: https://explorer.creditcoin.org/",https://www.creditcoin.org,https://twitter.com/creditcoin,https://discord.com/invite/3XPV7uTqsn,19/9/2023
Credix,Credit protocol (asset-backed),,,,Credix is a global portal that connects institutional investors with high-quality credit deals in Latin America,Live,Non-custodial,Public,Solana,-,2021,BE (Antwerp),,,https://www.credix.finance,https://twitter.com/Credix_finance,,15/9/2023
Curio,Investment platform,Credit protocol (asset-backed),Collectibles and Alternatives,"IP,Collectibles","Curio Group provides firms and asset originators with digital tools to create a market for their RWA and IP. In 2019 we were the first in the world to tokenize a fine collectible rare car and have expanded to 9 asset classes since then. Today we bring further liquidity via open-sourced CurioDAO multichain protocol, a real-asset-backed stablecoin, and AMM within one single experience. 
1. Rollapp marketplace: Rollapp enables users to earn income on their real assets, freeing up capital and allowing crypto investors to trade their way to diversify with a real asset portfolio. A marketplace enables the creation of physical NFTs as well as the direct investment into asset originators' real assets. 
2. CurioDAO Creator Protocol A system that enables you to lend your physical NFTs in exchange for instant liquidity in the form of Curio Stablecoin Coin pegged to Swiss Franc.
3. CapitalDEX AMM leveraging new real-asset financing primitive CurioDAO has created a new legal primitive for ownership and intellectual property (IP) ownership called Wrapped Fractional Physical-NFTs that allows communities to invest in real assets. Wrapped Fractional Physical-NFTs allow asset originators to rebalance without needing to sell early or auction their assets.",Live,Non-custodial,Public,"Polkadot,Ethereum",$CGT,2019,LI,,,https://curioinvest.com/,https://twitter.com/curio_invest,-,15/10/2023
Cytus Finance,Tokenization platform ,,Real Estate,Real estate,"Protocol tokenizing commercial real estate debt, bringing sustainable yield to the blockchain. Cytus is the first BridgeFi protocol allowing investors to obtain ownership of US treasury bonds legally without off ramping their funds from the blockchain. Launched in November 2022, the project offers two liquid fixed income pools: a 5–6% yield real estate debt pool, and a 2–3% yield U.S. Treasury bond pool.",Dead,?,?,?,,2022,,,,http://cytus.finance/,https://twitter.com/CytusFinance,-,15/10/2023
Danogo,Tokenization platform ,,Private Debt Instruments,Private debt,,Live,Non-custodial,,Cardano,,,,,https://defillama.com/protocol/danogo,https://danogo.io/,https://twitter.com/danogo_2023,,15/10/2023
Daylight Energy (by Anode Labs),Tokenization platform ,,Commodities and Precious Metals,Energy commodities,"React is a decentralized, open protocol for connecting distributed energy storage (like batteries) to power markets. React rewards individuals who deploy batteries in their homes or businesses. The protocol pools batteries by regions and acts as one large resource that can provide support to the local energy grid. Everyone that contributes a battery to the pool gets rewarded for the services their batteries are providing. With React, you can earn by actively supporting the energy transition.",In development,?,?,?,,,,,,https://www.reactnetwork.io/,https://twitter.com/react_energy,https://discord.com/invite/cSyTFpHBMj,22/11/2023
DealBox,Investment platform,,Equity and Stocks,Private equities,"Deal Box is a blockchain enabled tokenized funding platform that is democratizing private equity, venture capital and investing in early rounds of businesses in frontier industries. Deal Box, Inc.’s mission is to “Democratize Wealth for All” as one of the world’s first Democratized Venture Capital Firms.
 
Deal Box, Inc. is the new standard for venture investment and funding. We are a specialty capital markets consulting firm focusing on traditional and digital securities industries utilizing blockchain-based technologies to enhance capital formation for entrepreneurs, and early ventures to growth-stage companies.",Live,?,?,?,,2017,"US (CA, Carlsbad)",,,https://dealbox.io,https://twitter.com/dealboxinc,-,15/10/2023
Defactor,Credit protocol (asset-backed),,Funds and Investment Vehicles,Private capital markets,Businesses around the world are using Defactor to create tokens for Real-World Assets (RWAs) and provide decentralised finance capabilities to their customers and communities. Pools: reporting.defactorlabs.com/; Dune: dune.com/j1002/defactorlabs,Live,Non-custodial,Public,Ethereum,$FACTR,,,,,https://www.defactor.com,https://twitter.com/defactor_,https://discord.com/invite/S2SCMTPMUt,15/9/2023
DeltaP3,Investment platform,,Physical infrastructure,Physical infrastructure,"DeltaP3 enables anyone to participate in large-scale infrastructure projects Our technology enables government agencies and retail investors to collaborate with industry leaders to drive social and economic growth from anywhere in the world. Every step of delivering a P3 on DeltaP3 will be publicly accessible, immutable, and programmatic",Waitlist,?,?,?,DP3,2021,,,,https://deltap3.org/,https://twitter.com/dp3world,https://discord.com/invite/dnxNrUC7pZ,15/10/2023
Dexstar,Credit protocol (asset-backed),,Sustainable and Responsible Investments,ESG,DexStar is a DeFi protocol that provides capital markets infrastructure to sustainable businesses. It provides the bridge between the growing DeFi capital base and the massive funding requirement from sustainable business owners. Dexstar is paving the way for the real-world assets to live on-chain by focusing on the increasingly important sector that is sustainable finance.,Closed beta,Non-custodial,Public,Ethereum,-,2021,Cayman Islands,,,https://www.dexstar.io,https://twitter.com/dexstar_io,https://discord.com/invite/ek7jgZpz8y,15/9/2023
DigiFT,Assets DEX,,Equity and Stocks,Private equities,First & Only Regulatory-Compliant Security Token DEX. Compliant with Singapore's Securities And Futures Act Exempt Recognised Market Operator with a Capital Markets Services Licence.,Live,Non-custodial,Public,Ethereum,-,2022,SG,,,https://www.digift.sg,https://twitter.com/DigiFTTech,-,15/9/2023
DigiShares,Tokenization platform ,,Real Estate,Real estate,Tokenization platform-as-a-service focused on Real Estate. ,Closed beta,Custodial,?,-,,2018,"US (FL), DK",,,https://www.digishares.io,https://twitter.com/DigiSharesDK,-,15/9/2023
Digital Marks / Syntrix,?,,Equity and Stocks,Public equities,Digital-first experience of public capital markets,Waitlist,?,?,?,,2023,DE (Munich),,,https://www.digital-marks.com,-,-,15/9/2023
Dinari,Investment platform,,Equity and Stocks,Public equities,"Dinari Securities Backed Tokens (dShares) provide direct exposure to the world's most trusted assets such as Google, Apple and McDonalds shares.",Live,Non-custodial,Public,Arbitrum One,-,2021,US (Palo Alto),Worldwide,dinari.com/transparency,https://www.dinari.com,https://twitter.com/DinariGlobal,discord.com/invite/SuDXYyHukB,15/9/2023
DLTA,Assets management service,,Funds and Investment Vehicles,Private funds,"Investment company Vanguard Australia (Vanguard) has adopted technology firm GROW’s distributed ledger technology application (DLTA) platform. Held on R3’s Corda blockchain platform, DLTA provides a single, integrated, back-office solution for global assets. It includes a shared system of record for all fund and investor transactions and holdings. Currently, fund administration requires companies to reconcile numerous spreadsheets, deal with the differing on-premise systems of each participant and conduct operations without modern application programming interface systems. With GROW’s platform, Vanguard will benefit from cost reduction, improved security and a lower risk of manual errors",Live,Custodial,Private,R3 Corda,,2022,AU,,,https://vanguard.com,-,-,15/10/2023
Ebric,Investment platform,,Real Estate,"Real estate,Physical infrastructure","Founded in 2020, EBRIC aims to operate as a security token issuance platform for real assets in Asia. Through our platform and services, we aim to address the inefficiencies that exist in the markets today. Based on an advanced system for the tokenization of real assets and financial technology (FinTech) innovation, EBRIC introduces a paradigm shift to address the illiquidity problem in real asset investing. Our goal is to enable access to high-value, income generating assets for everyone through asset tokenization via blockchain technology. Possible to invest into Solar projects or Properties.",Live,Custodial,Public,?,,2020,ML (Selangor),Malaysia,,https://www.likwidasset.com/,-,-,15/10/2023
Ekta,"""L1, RWA-specific""",,Real Estate,Real estate,"Ekta is a Layer 1 blockchain project that connects the physical world with Web3. With its robust infrastructure and ambitious road map, Ekta is developing products that improve people’s lives and positively impact the natural world.",Live,Non-custodial,Public,-,$EKTA,2021,ID,,,https://www.ekta.io/,https://twitter.com/EktaChain,https://discord.com/invite/ektachain,15/10/2023
Elyfi,Investment platform,Tokenization platform,Public Debt Instruments,"Government bonds (short-term / non-US,Private equities","ELYFI offers a sophisticated DeFi platform that capitalizes on real-world assets, imbuing the crypto community with enhanced stability and tangible returns.",Live,Non-custodial,Public,Ethereum,-,-,KR,,3.12M TVL (Mainpage),https://www.elyfi.world,https://twitter.com/ELYSIA_HQ,discord.com/invite/d8zveNum7g,15/9/2023
Elysia,Investment platform,Tokenization platform,Real Estate,Real estate,Real world asset tokenization DAO. 01 The world’s second DAO LLC qualified by the US government; 02 First DAO LLC among listed projects; 03 Asia’s first DAO LLC.,Live,Non-custodial,Public,Ethereum,-,2020,KR,Korea,7.11M TVL (Mainpage),https://www.elysia.land,https://twitter.com/ELYSIA_HQ,discord.com/invite/d8zveNum7g,15/9/2023
Ensuro,Insurance protocol (real world),,Insurance and Claims,"Travel claims,Agro claims",We allow Liquidity Providers to access insurance as an asset class and achieve sustainable returns while maintaining full transparency on the performance of the insurance/protection products.,Live,Non-custodial,Public,Polygon,-,2021,SG,Worldwide,,https://www.ensuro.co,https://twitter.com/Ensuroproject,discord.com/invite/sePJF7RRZC,15/9/2023
Entoro Offboard,Tokenization platform ,,Equity and Stocks,Private equities,Regulated broker-dealer. Tokenization platform and services. ,Broken (Investment Platform does not work),Custodial,?,?,-,-,US (TX),?,-,https://www.entoro.com,https://twitter.com/EntoroCapital,-,15/9/2023
Ernst & Young Nightfall,"""L2, RWA-specific""",,,,"Layer 2 rollup that fosters faster and cheaper blockchain transactions while preserving the privacy of said transaction data through zero-knowledge proofs. Fork of Polygon. Nightfall is an Optimistic Zero-Knowledge (ZK) Roll-Up that helps enable private transactions on the public Ethereum blockchain. Using Nightfall, enterprises can orchestrate private transactions efficiently on the Ethereum mainnet without compromising the transparency, data immutability and security that Ethereum provides.",,,,,,2019,,,,https://blockchain.ey.com/,-,-,15/10/2023
Etherisc,Insurance protocol (real world),,Insurance and Claims,"Travel claims,Agriculture",Decentralized insurance protocol to collectively build insurance products: Travel Delay Protection - First decentralized insurance. Payouts are automatic and almost instant. Crop Protection - Select your and the location of your field. Automated payout are triggered by drought or flood events reported by government agencies.,Live,Non-custodial,Public,Ethereum,,2016,,,,https://etherisc.com/,https://twitter.com/etherisc,https://discord.com/invite/cVsgakVG4R,15/10/2023
EthicHub,Crowdinvesting,,Sustainable and Responsible Investments,Agriculture,"1st ReFi for underserved, securing sustainable lending. Crowd-lending with crowd-collateral backs unbanked. Earn up to 9%* with social impact investments. You can invest in the productivity of small farmers, to finance the farming and exporting of their exceptional Agriculture. You can also stake collateral for their loans and become part of the Web3 tech revolution, building together a more inclusive financial system. 514 projects supported so far. Offers collateral delegation.",Live,Non-custodial,Public,"Celo,Ethereum",$Ethix,2017,ES (Madrid),"Mexico, Colombia",,https://www.ethichub.com,https://twitter.com/EthicHub,-,15/9/2023
Exporo,Investment platform,Tokenization platform,Real Estate,Real estate,"Exporo offers investors an overview of real estate projects in which they can invest easily, transparently and free of charge.The idea begins in 2013 with the realization that real estate project developers are increasingly looking for alternative sources of finance, as banks no longer finance entire projects as usual due to stricter regulation,and that private investors only have a lot of money, with good conditions and easy to invest in real estate. The result of this observation is the firm decision to develop its own online Investment Platform to offer real estate projects as an investment opportunity and to provide capital directly between private investors and real estate companies.",Live,Custodial,Public,-,,2014,DE (Berlin),,,https://www.exporo.de,-,-,15/9/2023
Fabrica.land,Investment platform,Tokenization platform,Real Estate,Land,"Power your Property ‍with more... Capital -  Free your land from the old world of bank tellers. Borrow in seconds against your property using DeFi. Liquidity - Web2.0 markets, escrows and notaries are a thing of the past. Unlock liquidity trading properties instantly on NFT Investment Platforms. Flexibilty - Fully composable in the web3 ecosystem with apps you already use. Buy land as a DAO, earn a yield on your property, own fractions of a property, automate your real estate portfolio.",Live,Non-custodial,Public,Ethereum,,2018,US,"US (CA, CO, AZ)",,https://www.fabrica.land,https://twitter.com/fabricaland,-,15/9/2023
Figure,Tokenization platform ,,- Asset-agnostic,"Private equities,Private debt,Private funds",Tokenised Apollo fund on Provenance blockchain,,,,Provenance,,2018,,,Figure has unlocked over 4B USD in equity,https://www.figure.com/,https://twitter.com/figure,-,15/10/2023
Fintelum,Crowdinvesting,Investment platform,Equity and Stocks,Private equities,"Launch your security or utility token sale. Ensure your investor KYC/AML compliance with a sound infrastructure for your fundraise. Simplify investor relations with Fintelum smart contracts, custodian solutions and transfer agency. From initial issuance to subsequent fundraising rounds, communications, dividends, liquidity and corporate actions, Fintelum will run your race, while you run your business.",Live,Custodial,?,?,,2018,LV,,,https://www.fintelum.com/,https://twitter.com/fintelum,-,15/10/2023
Fireblocks,Tokenization platform ,,- Asset-agnostic,- Asset-agnostic,"Fireblocks began offering its one tokenization-as-a-service solution for issuers. In January 2023, Dutch investment bank ABN AMRO used BitBond to create smart contracts on the Stellar blockchain before using Fireblocks to mint and custody the tokenized bond. Fireblocks acts as the tokenization issuance provider; clients simply need to supply their own smart contracts or framework, which BitBond did here on behalf of ABN AMRO. 
        * Shortly after in February, Capital Trust Group selected Fireblocks for its Polygon-based digital bond issuance in New Zealand. 
        * Fireblocks also completed May integrations with Avalanche’s Spruce subnet for institutional sandbox solutions and Deal Box security token offering packaging platform. ",Live,Non-custodial,,"Polygon,Ethereum,Avalanche Subnet",,2018,,,,https://www.fireblocks.com/,https://twitter.com/FireblocksHQ,,15/10/2023
Florence Finance,Credit protocol (asset-backed),,Physical infrastructure,"Physical infrastructure,Receivables","Florence Finance acts as a bridge between cryptocurrency lenders and real-world borrowers, allowing them to interact in a transparent and mutually beneficial fashion. Florence Finance does not lend directly to SMEs. Our concept is based on lending to existing credit providers and lending platforms in an intermediate step. Generally, we provide funding on terms similar to – or actually even slightly better than – existing funding mechanisms. ",Live,Non-custodial,Public,Arbitrum,Coming soon,,UAE,EU,,https://www.florence.finance,https://twitter.com/FinanceFlorence,-,15/9/2023
Flowcarbon,Tokenization platform ,,Sustainable and Responsible Investments,Carbon credits,Project Development - We have the technological expertise to help your project achieve credit issuance. Project Financing - We help projects find the investment they need to scale — and match investors with innovative work to support. Carbon Credit Sales - We help corporations design and manage their carbon portfolios as well as credit procurement. Each token is backed 1:1 by a carbon credit held by Flowcarbon and can be redeemed for the carbon credit or retired to claim an offset. 1 token = 1 tonne of carbon.,Closed beta,?,?,?,-,2021,"US (NY), UK (London), DE (Berlin), CA (Toronto)",Worldwide,-,https://www.flowcarbon.com,https://twitter.com/weareflowcarbon,-,15/9/2023
Fnality,Transactions and settlement,,Financial Services and Payments,Cross-border payments,"Fnality International has been founded to create a network of decentralised Financial Market Infrastructures (dFMIs) to deliver the means of payment-on-chain in tomorrow’s wholesale banking markets. Within distributed Financial Market Infrastructure (dFMI), Fnality Global Payments (FnGP) has three core components; foundations, interoperability protocol, and business platforms. ",Live,?,?,?,,2019,UK,,,https://www.fnality.org,https://twitter.com/fnality,-,15/9/2023
Fortunafi,Credit protocol (asset-backed),,Financial Services and Payments,Receivables,"Fortunafi delivers the tokenization of RWAs onchain to bring DeFi-structured yield products, alternative lending, and all-in-one liquidity solutions to financial institutions, startups, and investors.",Live,Non-custodial,Public,Canto,-,,,EU,,https://www.fortunafi.com,https://twitter.com/_fortunafi,-,15/9/2023
Franklin Templeton Benji Investments,Tokenized fund,,Public Debt Instruments,Government bonds (short-term / US),"The first U.S.-registered mutual fund run on blockchain. The fund invests at least 99.5% of its total assets in U.S. government securities, cash and repurchase agreements collateralized fully by U.S. government securities or cash. The Fund’s transfer agent maintains the official record of share ownership via a proprietary blockchain-integrated system that utilizes blockchain technology for transaction activity. Available through Benji app. Benji is a retail mobile app and institutional web app that allows investors to browse tokenized securities and cryptocurrencies and invest in the world’s first tokenized money fund that is natively issued on blockchains. Benji makes it easy to securely buy, sell, and view your account activities through the apps.  ",Live,Non-custodial,Public,Stellar,-,2023,US (CA),US,,https://www.benjiinvestments.com,https://twitter.com/FTI_Global,-,19/9/2023
Frax,Stablecoin (RWA- or Fiat- backed),,Public Debt Instruments,Government bonds (short-term / US),"Frax onboards onboard FinresPBC as a reserve custody partner. The corporation’s primary objective is to grant the Frax Protocol entry to secure cash- equivalent assets and yields near Federal Reserve rates. Frax's goal is to benefit from off-chain RWA partner capabilities, including holding US Dollars in FDIC-insured savings accounts, minting, redeeming USDP and USDC, and holding and trading US Treasury Bills, all of which would be subjected to earning yield.",Live,Non-custodial,Public,Ethereum," $FRAX, $FPI, $frxETH",2019,,,,https://www.frax.finance,https://twitter.com/fraxfinance,https://discord.com/invite/UJVtDTFRaA,22/9/2023
Frictionless Markets,Tokenization platform ,,Private Debt Instruments,Private debt,"DEFYCA provide access for investors to invest frictionlessly in the private credit markets, whilst providing debt fund with a fully-digital.",Closed beta,?,Public,?,,2021,LU,,,https://www.frictionless.markets/,https://twitter.com/DEFYCALABS,discord.com/invite/qDdyRquY,15/9/2023
Frigg,Credit protocol (asset-backed),,Sustainable and Responsible Investments,"ESG,Private debt","Frigg aims to help small-to-medium blue-chip renewable developers, carbon removal or other decarbonization asset owner/developer access financing via blockchain rails by tokenizing debt of their project SPVs. After six months of hard work, the company went live with a proof of concept in September 2022. The $3m Swiss digital debt security was issued on Ethereum to refinance a government-supported developer’s hydro project in Rwanda, Africa.",Live,Non-custodial,Public,Ethereum,-,2022,CH,Rwanda,defillama.com/protocol/frigg.eco,https://www.frigg.eco,https://twitter.com/FriggEco,discord.com/invite/9tE6cdmKHJ,15/9/2023
Fusang,Assets exchange infra,Tokenization platform,- Asset-agnostic,"Private debt,Private equities,Private funds",Brokers and Family offices seeking to move to digital can launch their own proprietary Investment Platform just for your customers for the fraction of the cost.,Closed beta,Custodial,?,-,-,2015,"HK, ML (KL, Labuan)",,,https://www.fusang.co,https://twitter.com/FusangOfficial,-,15/9/2023
